UniqueID,Company,PurchaseOrder,PurchaseOrderLine,LineNumber,ShipToLocation,Item,ItemType,ServiceCode,ProcurementGroup,PurchaseOrderObjectID,Quantity,ReceivedQuantity,CatchWeightQuantity,ParticipantSequenceNumber,Tier,ManufacturerContract,Preferred,LastMatchUnitCost,MatchedQuantity,MatchedAmount,SubstituteQuantity,RejectedQuantity,CostOption,CostCode,Vendor,VendorItem,PurchaseFromLocation,Buyer,EnteredBuyUOM,EnteredUnitCost,Contract,ContractLine,MajorPurchasingClass,MinorPurchasingClass,ContractAmount,Description,EnteredBuyUOMMultiplier,VendorPriceUOM,VendorPriceUOMMultiplier,VendorPriceUOMQuantity,VendorBuyUnitCost,EarlyDeliveryDate,LateDeliveryDate,ReceivingActivityDate,CloseDate,DistributionCode,HSNSACCode,Taxable,TaxCode,TaxableUnitCost,StockWeight,StockVolume,PrintedOnReceivingDocument,CertificationRequired,RecInspFl,InspectionRequired,MSDSRequired,IgnoreLeadTimeCalculation,OvershipmentToleranceOption,UndershipmentToleranceOption,OvershipmentTolerancePercentage,UndershipmentTolerancePercentage,UserDate3,UserDate4,ItemGTIN,Manufacturer.ManufacturerCode,Manufacturer.ManufacturerDivision,ManufacturerNumber,LastDistributionSequence,LastSourceLine,Released,Issued,Revised,Closed,ExcludeFromAddOnChargeSpread,PurchaseOrderUserField2,PurchaseOrderUserField4,PurchaseOrderUserField6,MatchDetailKey,ArchivedQuantity,MatchedNotReceivedQuantity,ChargebackQuantity,WriteOffQuantity,VendorReturnLine,TaxUsageCode,CancelQuantity,QuantityToProcess,VendorPriceUOMQuantityToProcess,ExtendedAmount,InvoicedTaxAmount,AccruedTaxAmount,ExtendedTaxableAmount,OpenPurchaseAmount,OpenPurchaseAmountPOCurrency,ProductTaxCategory,LandedUnitCost,ICNCode,SupplementaryQuantity,RequisitionInterfaceInformation.SurgerySystemSource,RequisitionInterfaceInformation.SurgerySystemRequisitionReference,PunchoutId,FreightTerm,ShipTerm,TermCode,CatchWeightCost,PreviouslyReleased,SourcingEvent,CommodityCode,UseProcurementCard,ChargeQuantity,ChargedNotReceivedQuantity,ChargeApprovedQuantity,ChargeDisputeQuantity,OriginalLineNumber,Retainage,RetainageFirstPercent,RetainageSecondPercent,RetainageUpToPercentComplete,RetainagePercentComplete,RetainageOverridePercentComplete,ChargebackAmount,UNSPSCCode.UNSPSCSegment,UNSPSCCode.UNSPSCFamily,UNSPSCCode.UNSPSCClass,UNSPSCCode.UNSPSCCommodity,MemoQuantity,ServiceCancelAmount,MemoAmount,PurchaseOrderUserField7,EAMOperationNumber,EAMSequenceNumber,EAMWorkOrderNumber,CreatedBy,LastUpdateBy,LastUpdateDate,ReturnQuantity,CnCode,GlobalLineType,PurchaseOrderLineLifeCycleState,DistributionBy,OriginalItem,EAMWorkOrder,EAMWorkOrderActivity,EAMProjectID,EAMProjectType,EAMProjectTaxCode,EAMManufacturing,EAMTrade,EAMCommodityCode,EAMLineType,ExcludePOLine,Chemical,RebuildRepair,TestRequired,EAMDescription,EDIOutputUnitCost,EDIOutputLineAmount,E2GCompCode,EAMTool,TRACKINGNUMBER
0157c1d1-fdd2-0000-0005-22c057e97174,1,1,1,1,MAIN,9,N,,1,,10,10,0,0,,0,0,0,10,0,0,0,1,C,8,430107050,,4,EA,35,4,0,,,350,SCREW BN CANC TI FT 6.5 X 25,1,EA,1,10,35,11/29/2016,,11/29/2016,11/29/2016,,,FALSE,,0,0,0,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,ZIM,,4301-07-025,0,0,TRUE,TRUE,FALSE,Y,FALSE,,,,9,0,0,0,0,0,,0,10,10,350,0,0,0,0,0,,35,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,inforhc1,"Wednesday, 17 May 2017 12:07:00.00 PM",0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0005-e48a57e97174,1,2,1,1,MAIN,15,N,,1,,1,1,0,0,,0,0,0,1,0,0,0,1,E,6,,,4,EA,12000,0,0,CAP,,0,PORTABLE X-RAY MACHINE,1,EA,1,1,12000,12/3/2016,,12/3/2016,12/3/2016,,,FALSE,,0,0,0,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,GE,,GE AMX-4,0,0,TRUE,FALSE,FALSE,Y,FALSE,,,,15,0,0,0,0,0,,0,1,1,12000,0,0,0,0,0,,12000,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,,,0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0006-154557e97174,1,3,1,1,MAIN,16,N,,1,,1,1,0,0,,0,0,0,1,0,0,0,1,E,3,XPS 15,,4,EA,1249,0,0,HDWE,LPT,0,XPS 15,1,EA,1,1,1249,12/5/2016,12/5/2016,12/6/2016,12/6/2016,,,FALSE,,0,0,0,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,,,,0,0,TRUE,FALSE,FALSE,Y,FALSE,,,,16,0,0,0,0,0,,0,1,1,1249,0,0,0,0,0,,1249,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,,,0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0006-78ad57e97174,1,4,1,1,MAIN,MARQUE CURVED DOUBLE RECEPTION S,X,,1,,1,1,0,0,,0,0,0,1,0,0,0,1,E,2,MARQUE CURVED DOUBLE RECEPTION S,,4,EA,1949,0,0,,,0,"Marque Curved Double Reception Station - 124.25""W x 49""D",1,EA,1,1,1949,12/8/2016,,12/8/2016,12/8/2016,,,FALSE,,0,0,0,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,,,,0,0,TRUE,FALSE,FALSE,Y,FALSE,,,,MARQUE CURVED DOUBLE RECEPTION S,0,0,0,0,0,,0,1,1,1949,0,0,0,0,0,,1949,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,,,0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0006-a04357e97174,1,5,1,1,MAIN,1,I,,1,,1,1,0,0,1,0,0,0,0,0,0,0,1,Q,1,CARD-1,,1,CA,43,1,1,GLV,,43,GLOVES EXAM LG PF,10,CA,10,1,43,12/8/2016,,2/22/2018,,,,FALSE,,0,0,0,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,KC,,50033,0,0,TRUE,FALSE,FALSE,N,FALSE,,,,1,0,0,0,0,0,,0,1,1,43,0,0,0,43,43,,43,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,42,13,22,03,0,0,0,,0,0,0,,,,0,,,1,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0006-bc9557e97174,1,6,1,1,MAIN,6,N,,1,,1,1,0,0,,0,0,0,1,0,0,0,1,C,8,596403210,,2,EA,450,4,0,,,450,SURFACE ART LPS-FLEX EF 3-4 10,1,EA,1,1,450,12/16/2016,,12/14/2016,5/10/2017,,,FALSE,,0,0,0,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,ZIM,,5964-32-10,0,0,TRUE,TRUE,FALSE,Y,FALSE,,,,6,0,0,0,0,0,,0,1,1,450,0,0,0,0,0,,450,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,inforhc1,"Wednesday, 17 May 2017 11:48:00.00 AM",0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0157c1d1-fdd2-0000-0006-d23c57e97174,1,7,1,1,MAIN,OD-100,X,,1,,1,1,0,0,,0,0,0,0,0,0,0,1,E,2,OD-100,,1,EA,700,0,0,,,0,Chair,1,EA,1,1,700,12/21/2016,,12/14/2016,,,,FALSE,,0,0,0,FALSE,FALSE,,FALSE,FALSE,FALSE,1,1,0.1,0.09,,,,,,,0,0,TRUE,FALSE,FALSE,N,FALSE,,,,OD-100,0,0,0,0,0,,0,1,1,700,0,0,0,700,700,,700,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,,,0,,,1,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,ABC12354
015909a5-49a3-0000-0000-14e157e97174,1,8,1,1,MAIN,8,N,,1,,1,1,0,0,,0,0,0,0,0,0,0,1,C,8,30455503000,,2,EA,700,4,0,,,700,STEM FEMORAL SOLID LG 165,1,EA,1,1,700,12/27/2016,,12/27/2016,,,,FALSE,,0,0,0,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,ZIM,,30-4555-30,0,0,TRUE,TRUE,FALSE,N,FALSE,,,,8,0,0,0,0,0,,0,1,1,700,0,0,0,700,700,,700,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,inforhc1,"Wednesday, 17 May 2017 11:50:00.00 AM",0,,,1,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0159d7c6-878d-0000-0002-bb50538f85a8,1,9,1,1,MAIN,6,N,,1,,1,1,0,0,,0,0,0,1,0,0,0,1,C,8,596403210,,2,EA,450,4,0,,,450,SURFACE ART LPS-FLEX EF 3-4 10,1,EA,1,1,450,1/27/2017,,1/27/2017,5/31/2017,,,FALSE,,0,0,0,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,ZIM,,5964-32-10,0,0,TRUE,TRUE,FALSE,Y,FALSE,,,,6,0,0,0,0,0,,0,1,1,450,0,0,0,0,0,,450,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,inforhc1,"Wednesday, 17 May 2017 11:52:00.00 AM",0,,,3,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
0159d7c6-878d-0000-000b-edc9538f85a8,1,10,1,1,MAIN,8,N,,1,,1,1,0,0,,4,0,0,0,0,0,0,1,C,8,30455503000,,2,EA,700,4,4,,,700,STEM FEMORAL SOLID LG 165,1,EA,1,1,700,2/2/2017,,1/30/2017,,,,FALSE,,0,0,0,FALSE,FALSE,N,FALSE,FALSE,FALSE,0,0,0.1,0.1,,,,ZIM,,30-4555-30,0,1,TRUE,TRUE,FALSE,N,FALSE,,,,8,0,0,0,0,0,,0,1,1,700,0,0,0,700,700,,700,,0,,,,,,,0,TRUE,0,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,inforhc2,inforhc2,"Monday, 30 January 2017 15:43:00.00 PM",0,,,1,0,,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,,0,0,,,
